#,Filename,File extension,Path,Size,Date created
274,18 Don Giovanni.wma,.wma,\A Night At The Opera II\,"5,660,970",25 Jun 2007 20:17
278,"01 Adagio, From Clarinet Concerto.wma",.wma,\Adagio  Serene Classical Music for a Peaceful Mind Disc 1\,"21,579,002",28 Jun 2007 07:21
279,02 Adagio for Strings.wma,.wma,\Adagio  Serene Classical Music for a Peaceful Mind Disc 1\,"12,676,186",28 Jun 2007 07:21
280,"03 Adagio, From Sonata Pathetique.wma",.wma,\Adagio  Serene Classical Music for a Peaceful Mind Disc 1\,"16,908,608",28 Jun 2007 07:21
281,"04 Andante, From Piano Concerto No. 21 'Elvira Madigan'.wma",.wma,\Adagio  Serene Classical Music for a Peaceful Mind Disc 1\,"13,687,450",28 Jun 2007 07:21
283,01 Se qual gurriero io fossi... celeste Aida.wma,.wma,\Aida Disc 1\,"6,770,178",25 Jun 2007 16:59
284,"02 Or, di vulcano al tempio.wma",.wma,\Aida Disc 1\,"6,421,680",25 Jun 2007 16:59
285,03 Ritorna vincitor.wma,.wma,\Aida Disc 1\,"9,302,920",25 Jun 2007 16:59
286,04 Gloria all'egitto.wma,.wma,\Aida Disc 1\,"7,942,826",25 Jun 2007 16:59
287,"05 O re, pei sacri numi.wma",.wma,\Aida Disc 1\,"9,159,760",25 Jun 2007 16:59
288,06 Qui Radames verra... o patria mia.wma,.wma,\Aida Disc 1\,"7,781,794",25 Jun 2007 16:59
289,07 Ciel! Mio padre!... Rivedra! Le foreste imbalsamate.wma,.wma,\Aida Disc 1\,"7,414,962",25 Jun 2007 16:59
290,"08 Pur ti riveggo, mia dolce Aida.wma",.wma,\Aida Disc 1\,"8,757,120",25 Jun 2007 16:59
291,09 Vorrei salvarlo... gia sacerdoti adunans!.wma,.wma,\Aida Disc 1\,"14,313,850",25 Jun 2007 16:59
292,"10 Qual gemito!... Morir, si pura e bella!... O terra, addio.wma",.wma,\Aida Disc 1\,"4,846,898",25 Jun 2007 16:59
293,11 Aida IV.ii La fatal pietra sovra me si chiuse.wma,.wma,\Aida Disc 1\,"8,962,954",25 Jun 2007 16:59
294,12 Aida IV.ii Presago il core della tua condanna.wma,.wma,\Aida Disc 1\,"3,209,390",25 Jun 2007 16:59
295,"14 Aida, opera.wma",.wma,\Aida Disc 1\,"14,045,178",25 Jun 2007 16:59
297,01 PTAE501.wma,.wma,\Alex Affair 3 Disc 3\,"2,139,014",21 Oct 2008 21:30
298,02 PTAE502.wma,.wma,\Alex Affair 3 Disc 3\,"2,085,464",21 Oct 2008 21:30
299,03 PTAE503.wma,.wma,\Alex Affair 3 Disc 3\,"3,513,728",21 Oct 2008 21:30
300,04 PTAE504.wma,.wma,\Alex Affair 3 Disc 3\,"2,934,056",21 Oct 2008 21:30
301,05 PTAE505.wma,.wma,\Alex Affair 3 Disc 3\,"2,557,568",21 Oct 2008 21:30
302,06 PTAE506.wma,.wma,\Alex Affair 3 Disc 3\,"1,392,248",21 Oct 2008 21:30
303,07 PTAE507.wma,.wma,\Alex Affair 3 Disc 3\,"1,691,048",21 Oct 2008 21:30
304,08 PTAE508.wma,.wma,\Alex Affair 3 Disc 3\,"1,691,048",21 Oct 2008 21:30
305,09 PTAE509.wma,.wma,\Alex Affair 3 Disc 3\,"2,067,536",21 Oct 2008 21:30
306,10 PTAE510.wma,.wma,\Alex Affair 3 Disc 3\,"2,820,512",21 Oct 2008 21:30
307,11 PTAE511.wma,.wma,\Alex Affair 3 Disc 3\,"3,495,800",21 Oct 2008 21:30
308,12 PTAE612.wma,.wma,\Alex Affair 3 Disc 3\,"2,354,384",21 Oct 2008 21:30
309,13 PTAE613.wma,.wma,\Alex Affair 3 Disc 3\,"3,185,048",21 Oct 2008 21:30
310,14 PTAE614.wma,.wma,\Alex Affair 3 Disc 3\,"1,846,424",21 Oct 2008 21:30
311,15 PTAE615.wma,.wma,\Alex Affair 3 Disc 3\,"2,252,792",21 Oct 2008 21:30
312,16 PTAE616.wma,.wma,\Alex Affair 3 Disc 3\,"1,798,616",21 Oct 2008 21:30
313,17 PTAE617.wma,.wma,\Alex Affair 3 Disc 3\,"2,832,464",21 Oct 2008 21:30
314,18 PTAE618.wma,.wma,\Alex Affair 3 Disc 3\,"2,892,224",21 Oct 2008 21:30
315,19 PTAE619.wma,.wma,\Alex Affair 3 Disc 3\,"2,103,392",21 Oct 2008 21:30
316,20 PTAE620.wma,.wma,\Alex Affair 3 Disc 3\,"2,587,448",21 Oct 2008 21:30
317,21 PTAE621.wma,.wma,\Alex Affair 3 Disc 3\,"2,031,680",21 Oct 2008 21:30
318,22 PTAE622.wma,.wma,\Alex Affair 3 Disc 3\,"2,485,856",21 Oct 2008 21:30
320,01 Let the Bright Seraphim.wma,.wma,\Almanac 1992 Highlights of the Year\,"7,996,064",27 Jun 2007 20:26
321,02 Echo for Two Flutes - III. Presto.wma,.wma,\Almanac 1992 Highlights of the Year\,"2,403,980",27 Jun 2007 20:26
322,03 Symphony No. 39 - III. Menuetto. Allegretto.wma,.wma,\Almanac 1992 Highlights of the Year\,"6,600,602",27 Jun 2007 20:26
323,04 Martern aller Arten.wma,.wma,\Almanac 1992 Highlights of the Year\,"12,604,688",27 Jun 2007 20:26
324,05 La Boite a joujoux - I. Prelude.wma,.wma,\Almanac 1992 Highlights of the Year\,"4,560,444",27 Jun 2007 20:26
325,"06 String Sextet in B - flat Major, Op. 18 - III. Scherzo. Allegro molto.wma",.wma,\Almanac 1992 Highlights of the Year\,"4,399,554",27 Jun 2007 20:26
326,07 Cello Concerto No. 2 - IV. Allegretto vivo.wma,.wma,\Almanac 1992 Highlights of the Year\,"7,003,236",27 Jun 2007 20:26
327,08 Piano Concerto No. 2 in C Minor - I. Moderato.wma,.wma,\Almanac 1992 Highlights of the Year\,"16,282,338",27 Jun 2007 20:26
328,09 Karfreitagszauber.wma,.wma,\Almanac 1992 Highlights of the Year\,"15,691,688",27 Jun 2007 20:26
329,"10 Jesu, Joy of Man's Desiring.wma",.wma,\Almanac 1992 Highlights of the Year\,"4,900,406",27 Jun 2007 20:26
330,11 En los Trigales.wma,.wma,\Almanac 1992 Highlights of the Year\,"5,696,738",27 Jun 2007 20:26
331,12 Deep River.wma,.wma,\Almanac 1992 Highlights of the Year\,"7,307,404",27 Jun 2007 20:26
332,13 The Nutcracker - Danse russe (Trepak).wma,.wma,\Almanac 1992 Highlights of the Year\,"1,697,074",27 Jun 2007 20:26
333,14 Hush Little Baby.wma,.wma,\Almanac 1992 Highlights of the Year\,"3,790,848",27 Jun 2007 20:26
334,15 Padre ricevi l'estremo addio.wma,.wma,\Almanac 1992 Highlights of the Year\,"7,656,418",27 Jun 2007 20:26
336,"01 American Pie, Pt.1.wma",.wma,\American Pie Disc 1\,"3,011,468",07 Jul 2007 11:16
337,02 Both Sides Now.wma,.wma,\American Pie Disc 1\,"3,226,604",30 Dec 2006 15:31
338,03 Maybe.wma,.wma,\American Pie Disc 1\,"5,939,708",07 Jul 2007 11:16
339,04 The Universal Soldier.wma,.wma,\American Pie Disc 1\,"4,511,444",30 Dec 2006 15:31
340,05 City of New Orleans.wma,.wma,\American Pie Disc 1\,"6,101,060",30 Dec 2006 15:31
341,"06 Farewell, Angelina.wma",.wma,\American Pie Disc 1\,"3,925,796",30 Dec 2006 15:31
342,07 Catch the Wind.wma,.wma,\American Pie Disc 1\,"2,688,764",30 Dec 2006 15:31
343,08 Baker Street.wma,.wma,\American Pie Disc 1\,"5,037,332",30 Dec 2006 15:31
344,09 The Leaving of Liverpool.wma,.wma,\American Pie Disc 1\,"9,447,620",30 Dec 2006 15:31
345,10 Someday Soon.wma,.wma,\American Pie Disc 1\,"5,945,684",30 Dec 2006 15:31
346,11 Rain.wma,.wma,\American Pie Disc 1\,"2,611,076",30 Dec 2006 15:31
347,12 The Weight.wma,.wma,\American Pie Disc 1\,"6,244,484",30 Dec 2006 15:31
348,13 Morning of My Life.wma,.wma,\American Pie Disc 1\,"8,754,404",07 Jul 2007 11:16
350,01 Christus Factus est pro nobis.wma,.wma,\An Introduction to Early Music\,"5,947,010",29 Jun 2007 08:01
351,"02 Factus est repente, comminio.wma",.wma,\An Introduction to Early Music\,"4,578,330",29 Jun 2007 08:01
352,"03 O viridissima virga, antiphon.wma",.wma,\An Introduction to Early Music\,"6,851,124",29 Jun 2007 08:01
353,04 Chominciamento di gioia.wma,.wma,\An Introduction to Early Music\,"10,850,868",29 Jun 2007 08:01
354,05 Belicha for consort.wma,.wma,\An Introduction to Early Music\,"3,280,852",29 Jun 2007 08:01
355,06 Saltarello 2.wma,.wma,\An Introduction to Early Music\,"2,717,114",29 Jun 2007 08:01
356,"07 Intemerata Dei mater, motet for 5 voices.wma",.wma,\An Introduction to Early Music\,"11,638,326",29 Jun 2007 08:01
357,08 Fantasia for lute No 55.wma,.wma,\An Introduction to Early Music\,"7,289,564",29 Jun 2007 08:01
358,10 Entrada.wma,.wma,\An Introduction to Early Music\,"5,285,180",29 Jun 2007 08:01
359,11 Guardame las vacas.wma,.wma,\An Introduction to Early Music\,"3,379,278",29 Jun 2007 08:01
360,"12 Faulte d'argent, song for 5 parts.wma",.wma,\An Introduction to Early Music\,"2,914,012",29 Jun 2007 08:01
361,13 Conde Claros.wma,.wma,\An Introduction to Early Music\,"5,079,386",29 Jun 2007 08:01
362,"14 Have mercy upon me, O God, consort song for S or A solo, SSATTB & organ or strings (inc. but can be reconstructed).wma",.wma,\An Introduction to Early Music\,"4,641,138",29 Jun 2007 08:01
363,15 La Pastorella Mia.wma,.wma,\An Introduction to Early Music\,"4,345,660",29 Jun 2007 08:01
364,"16 Missa Papae Marcelli, for 6 voices- Kyrie.wma",.wma,\An Introduction to Early Music\,"6,645,528",29 Jun 2007 08:01
365,17 Fantasia in C minor.wma,.wma,\An Introduction to Early Music\,"7,209,024",29 Jun 2007 08:01
366,18 Suite for harpsichord in F major- Gigue.wma,.wma,\An Introduction to Early Music\,"2,735,252",29 Jun 2007 08:01
405,"01 Karelia - Tableau 2, 'The founding of Viipuri Castle'.wma",.wma,\Angel Voices- Anonymous 4\,"3,615,046",03 Mar 2014 15:38
406,"02 Symphony No. 3 in D minor - final movement, 'Langsam. Ruhevoll. Empfunden', opening.wma",.wma,\Angel Voices- Anonymous 4\,"5,868,364",03 Mar 2014 15:38
407,03 Les 'Nuits d'Ete' - 'L'Absence'.wma,.wma,\Angel Voices- Anonymous 4\,"5,611,294",03 Mar 2014 15:38
